feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
V284,0,3,1,3,0,1.4
V285,8,6,2,8,11,7.0
V286,2,1,0,3,2,1.6
V287,0,3,3,1,2,1.8
V288,1,0,2,4,1,1.6
V289,7,8,5,6,11,7.4
V290,0,0,1,4,2,1.4
V291,5,9,4,4,10,6.4
V292,2,4,5,3,1,3.0
V293,1,1,3,3,1,1.8
V294,37,36,25,25,20,28.6
V295,1,1,4,3,2,2.2
V296,13,10,9,18,23,14.6
V297,2,0,0,0,0,0.4
V298,2,1,7,8,1,3.8
V299,0,0,1,0,0,0.2
V300,0,0,6,6,4,3.2
V301,3,1,10,11,0,5.0
V302,0,0,0,0,0,0.0
V303,2,0,2,3,2,1.8
V304,8,3,1,0,1,2.6
V305,0,0,0,0,0,0.0
V306,6,2,10,3,1,4.4
V307,11,7,8,15,6,9.4
V308,8,5,7,11,10,8.2
V309,5,6,11,12,7,8.2
V310,21,20,30,26,16,22.6
V311,3,1,3,1,1,1.8
V312,23,21,14,14,13,17.0
V313,45,30,37,27,43,36.4
V314,13,16,19,22,15,17.0
V315,11,17,22,25,28,20.6
V316,13,18,14,6,5,11.2
V317,24,23,23,11,21,20.4
V318,10,9,8,7,9,8.6
V319,0,1,1,2,0,0.8
V320,14,8,10,18,16,13.2
V321,11,2,1,1,0,3.0
V322,0,0,2,1,2,1.0
V323,1,7,6,9,6,5.8
V324,0,4,0,2,1,1.4
V325,0,1,0,0,0,0.2
V326,10,3,4,1,5,4.6
V327,0,1,1,0,3,1.0
V328,0,0,0,0,0,0.0
V329,4,0,0,5,3,2.4
V330,0,0,0,0,0,0.0
V331,2,0,1,1,2,1.2
V332,4,0,3,3,2,2.4
V333,1,0,1,0,0,0.4
V334,4,0,0,2,1,1.4
V335,1,3,1,1,4,2.0
V336,3,11,8,5,8,7.0
V337,0,0,0,0,1,0.2
V338,1,1,5,2,1,2.0
V339,0,0,0,1,0,0.2
id_01,1,1,1,0,1,0.8
id_02,20,8,5,0,0,6.6
id_03,1,0,0,0,0,0.2
id_04,0,0,0,0,0,0.0
id_05,9,7,1,1,0,3.6
id_06,7,2,0,1,0,2.0
id_07,0,0,0,0,0,0.0
id_08,0,0,0,0,0,0.0
id_09,1,0,0,1,1,0.6
id_10,1,0,0,0,0,0.2
id_11,1,3,0,1,2,1.4
id_13,8,4,2,1,1,3.2
id_14,2,2,1,0,0,1.0
id_15,0,0,0,0,0,0.0
id_16,0,0,0,0,0,0.0
id_17,1,2,0,0,0,0.6
id_18,0,1,0,0,0,0.2
id_19,19,3,3,8,2,7.0
id_20,10,15,5,0,2,6.4
id_21,0,0,0,0,0,0.0
id_22,0,0,0,0,0,0.0
id_23,0,0,0,0,0,0.0
id_24,0,0,0,0,0,0.0
id_25,0,0,0,0,0,0.0
id_26,0,0,0,0,0,0.0
id_27,0,0,0,0,0,0.0
id_28,0,0,0,0,0,0.0
id_29,0,0,0,0,0,0.0
id_30,3,1,0,0,1,1.0
id_31,13,3,1,1,1,3.8
id_32,2,0,0,0,0,0.4
id_33,5,0,0,0,0,1.0
id_34,0,0,0,0,0,0.0
id_35,0,0,1,0,0,0.2
id_36,1,0,0,0,0,0.2
id_37,0,0,0,0,0,0.0
id_38,2,0,0,1,1,0.8
DeviceType,1,0,0,0,0,0.2
DeviceInfo,3,1,1,0,0,1.0
